RouteNum,RouteName,Boardings,LAYOVER_HRS,PULLIN_PULLOUT_HRS,IN_SVC_HOURS,REVENUE_HOURS,SCHOOL_HOURS,TOTAL_HOURS,REV_MILES,VEHICLE_TRIPS,GROSS_COST,FARE_BRDG,FARE_REVENUE,OTHER_REVENUE,NET_COST,BRDGS_TRIP,BOARDINGS_REV_HR,BOARDINGS_TOTAL_HOUR,FAREBOX_RATIO,NET_COST_BOARDING,MPH,REV_HRS_TOT_HRS,RIDERSHIP_PURPOSE,linetype,DAY_TYPE,FID
81,Vallco — San Jose State Univ,293,4.85,2.43333333333333,29.3833333333333,34.2333333333333,0,36.6666666666667,438,19,6462.13333333333,0.88293,258.9928,0,6203.14053333333,15.4385964912281,8.56864654333009,8,0.0400785292782569,21.14707,14.9064095292116,0.933636363636364,0.5,Local,Saturday,1
39,The Villages — Eastridge TC,196,3.23333333333333,0.6,7.4,10.6333333333333,0,11.2333333333333,154.3,22,1979.76266666667,0.88293,173.05428,0,1806.70838666667,8.90909090909091,18.4326018808777,17.4480712166172,0.0874116291380381,9.21789993197279,20.8513513513514,0.946587537091988,0,Community,Saturday,2
14,Gilroy TC — St Louise Hospital,86,1.51666666666667,0,5.38333333333333,6.9,0,6.9,81,16,1216.056,0.88293,75.93198,0,1140.12402,5.375,12.463768115942,12.463768115942,0.0624411869190235,13.2572560465116,15.046439628483,1,0,Community,Saturday,3
19,Gilroy TC — Wren & Mantelli,110,1.31666666666667,3.66666666666667,4.33333333333333,5.65,0,9.31666666666667,65.3,21,1641.96933333333,0.88293,97.1223,0,1544.84703333333,5.23809523809524,19.4690265486726,11.8067978533095,0.0591498866807906,14.0440639393939,15.0692307692308,0.606440071556351,0,Community,Saturday,4
32,San Antonio Shopping Ctr — Santa Clara TC,229,2.5,1.16666666666666,15.8,18.3,0,19.4666666666667,250.2,18,3430.80533333333,0.88293,201.89666,0,3228.90867333333,12.7037037037037,12.4954462659381,11.7465753424658,0.0588481829727831,14.1205918658892,15.8354430379747,0.940068493150685,0,Community,Saturday,5
17,Gilroy TC — Monterey & Las Animas,47,1.08333333333333,0,3.03333333333333,4.11666666666667,0,4.11666666666667,49.1,16,725.521333333333,0.88293,41.49771,0,684.023623333333,2.9375,11.417004048583,11.417004048583,0.0571970913788889,14.5536941134752,16.1868131868132,1,0,Community,Saturday,6
49,Los Gatos Civic Ctr — Winchester TC via Los Gatos,107,2.33333333333333,0.316666666666666,7.75,10.0833333333333,0,10.4,119,22,1832.896,0.88293,94.47351,0,1738.42249,4.86363636363636,10.6115702479339,10.2884615384615,0.0515433008746814,16.2469391588785,15.3548387096774,0.969551282051282,0,Community,Saturday,7
42,Kaiser San Jose — Evergreen Valley Coll,101,1.53333333333333,0.483333333333334,7.95,9.48333333333333,0,9.96666666666667,156.4,18,1756.52533333333,0.88293,89.17593,0,1667.34940333333,5.61111111111111,10.6502636203866,10.133779264214,0.0507683711175244,16.5084099339934,19.6729559748428,0.951505016722408,0,Community,Saturday,8
48,Los Gatos Civic Ctr — Winchester TC via Winchester,110,2.4,1.11666666666667,9.93333333333333,12.3333333333333,0,13.45,138.6,23,2370.428,0.88293,97.1223,0,2273.3057,4.78260869565217,8.91891891891892,8.17843866171004,0.0409724741692218,20.6664154545455,13.9530201342282,0.916976456009913,0,Community,Saturday,9
181,San Jose Diridon Transit Center -- Fremont BART,1558,25.8333333333333,6.93333333333334,78.7,104.533333333333,0,111.466666666667,1897.1,92,23573.8624,0.88293,1375.60494,0,22198.25746,16.9347826086957,14.9043367346939,13.9772727272727,0.058352972315644,14.2479187804878,24.1054637865311,0.937799043062201,0.25,Express,Saturday,10
200,Tasman & Baypointe -- Mountain View Station NIGHT,7,0.283333333333333,0.766666666666666,0.766666666666667,1.05,0,1.81666666666667,18.1,2,320.169333333333,0.88293,6.18051,0,313.988823333333,3.5,6.66666666666667,3.85321100917431,0.0193038787808118,44.8555461904762,23.6086956521739,0.577981651376147,0,Other,Saturday,11
902,Mountain View – Winchester,4326,11.95,3.36666666666667,90.95,102.9,0,106.266666666667,1475,74,63157.468,0.88293,3819.55518,0,59337.91282,58.4594594594595,42.0408163265306,40.7089084065245,0.060476698970896,13.7165771659732,16.2177020340847,0.96831869510665,1,LRT,Sunday,12
901,Alum Rock – Santa Teresa,7857,28.7333333333333,12.75,162.633333333333,191.366666666667,0,204.116666666667,3140.7,132,121312.6585,0.88293,6937.18101,0,114375.47749,59.5227272727273,41.0573070893573,38.4926920878583,0.0571843127978273,14.5571436286114,19.3115392498463,0.937535723034213,1,LRT,Sunday,13
900,Ohlone/Chynoweth – Almaden,502,6.56666666666667,0.533333333333335,7.48333333333333,14.05,0,14.5833333333333,131,112,8667.3125,0.88293,443.23086,0,8224.08164,4.48214285714286,35.729537366548,34.4228571428571,0.0511382115275064,16.382632749004,17.5055679287305,0.963428571428571,0.5,LRT,Sunday,14
22,Palo Alto TC — Eastridge TC via El Camino,8018,47.6833333333333,27.3333333333333,262.416666666667,310.1,0,337.433333333333,3475.8,141,59469.2506666667,0.88293,7079.33274,0,52389.9179266667,56.8652482269504,25.8561754272815,23.7617307122395,0.119041902506568,6.53403815498462,13.2453477294379,0.918996344957029,1,Core,Sunday,15
25,De Anza Coll — Alum Rock TC via Valley Med Ctr,2880,25.1333333333333,5.98333333333332,102.916666666667,128.05,0,134.033333333333,1252.1,85,23622.0346666667,0.88293,2542.8384,0,21079.1962666667,33.8823529411765,22.491214369387,21.4871922407361,0.107646882915985,7.31916537037037,12.1661538461538,0.955359363342452,1,Core,Sunday,16
